scientificName_harmonise,class,order,family,source
Bufo bufo,Amphibia,Anura,Bufonidae,Chapple et al. (2016)
Bufotes viridis,Amphibia,Anura,Bufonidae,Chapple et al. (2016)
Duttaphrynus melanostictus,Amphibia,Anura,Bufonidae,Chapple et al. (2016)
Epidalea calamita,Amphibia,Anura,Bufonidae,Chapple et al. (2016)
Rhinella marina,Amphibia,Anura,Bufonidae,Chapple et al. (2016)
Strauchbufo raddei,Amphibia,Anura,Bufonidae,Chapple et al. (2016)
Fejervarya kawamurai,Amphibia,Anura,Dicroglossidae,Chapple et al. (2016)
Hoplobatrachus rugulosus,Amphibia,Anura,Dicroglossidae,Chapple et al. (2016)
Dryophytes cinereus,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Dryophytes gratiosus,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Dryophytes japonicus,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Dryophytes squirellus,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Hyla arborea,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Litoria congenita,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Litoria dentata,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Litoria ewingii,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Litoria fallax,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Litoria jervisiensis,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Litoria peronii,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Litoria rothii,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Litoria rubella,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Litoria tyleri,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Litoria verreauxii,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Nyctimystes infrafrenatus,Amphibia,Anura,Hylidae,Chapple et al. (2016)
Osteopilus septentrionalis,Amphibia,Anura,Hylidae,Chapple et al. (2016)
