scientificName_harmonise,commonness_rawGBIF,commonness_cleanedGBIF,commonness_thinnedGBIF
Abavorana luctuosa,21,3,3
Acanthixalus sonjae,5,2,2
Acanthixalus spinosus,86,2,2
Acris blanchardi,8729,5111,2769
Acris crepitans,12990,2051,1174
Acris gryllus,3728,1506,1044
Adelastes hylonomos,2,1,NA
Adelophryne adiastola,10,1,NA
Adelophryne baturitensis,6,NA,NA
Adelophryne gutturosa,11,4,4
Adelophryne maranguapensis,15,NA,NA
Adelophryne patamona,9,1,NA
Adelotus brevis,4897,2328,1016
Adelphobates castaneoticus,8,NA,NA
Adelphobates galactonotus,24,6,6
Adelphobates quinquevittatus,73,4,4
Adenomera ajurauna,4,1,NA
Adenomera amicorum,2,1,NA
Adenomera andreae,760,153,126
Adenomera bokermanni,10,2,2
Adenomera chicomendesi,7,7,6
Adenomera cotuba,30,10,6
Adenomera diptyx,89,6,6
Adenomera gridipappi,4,2,2
Adenomera guarayo,3,1,NA
Adenomera heyeri,34,8,7
Adenomera hylaedactyla,455,101,92
Adenomera juikitam,18,13,8
Adenomera kayapo,6,5,4
Adenomera kweti,1,1,NA
Adenomera lutzi,66,7,5
Adenomera marmorata,283,68,48
Adenomera martinezi,4,1,NA
Adenomera nana,4,2,2
Adenomera phonotriccus,2,2,2
Adenomera saci,22,2,2
Adenomera simonstuarti,5,3,2
Adenomera thomei,4,NA,NA
Adenomus kandianus,1,NA,NA
Adenomus kelaartii,22,14,14
Afrixalus aureus,97,42,33
Afrixalus brachycnemis,308,11,11
Afrixalus clarkei,3,1,NA
Afrixalus crotalus,52,3,2
Afrixalus delicatus,94,31,23
Afrixalus dorsalis,118,43,38
Afrixalus dorsimaculatus,2,1,NA
Afrixalus enseticola,6,3,3
Afrixalus equatorialis,21,6,6
Afrixalus fornasini,436,75,58
Afrixalus fulvovittatus,478,3,3
Afrixalus knysnae,35,NA,NA
Afrixalus lacteus,42,2,2
Afrixalus laevis,58,11,10
Afrixalus leucostictus,6,NA,NA
Afrixalus morerei,3,2,2
Afrixalus nigeriensis,14,13,11
Afrixalus orophilus,19,1,NA
Afrixalus osorioi,331,17,16
Afrixalus paradorsalis,137,21,19
Afrixalus quadrivittatus,116,37,25
Afrixalus schneideri,5,NA,NA
Afrixalus septentrionalis,2,NA,NA
Afrixalus spinifrons,36,12,11
Afrixalus stuhlmanni,9,1,NA
Afrixalus sylvaticus,19,2,2
Afrixalus uluguruensis,78,1,NA
Afrixalus upembae,4,NA,NA
Afrixalus vibekensis,10,3,3
Afrixalus vittiger,45,23,20
Afrixalus weidholzi,6,4,4
Afrixalus wittei,29,8,7
Agalychnis annae,123,30,19
Agalychnis buckleyi,35,4,3
Agalychnis callidryas,1714,659,275
Agalychnis dacnicolor,1061,342,259
Agalychnis hulli,24,3,3
Agalychnis lemur,111,24,18
Agalychnis medinae,1,NA,NA
Agalychnis moreletii,367,94,48
Agalychnis psilopygion,4,2,2
Agalychnis saltator,92,4,3
Agalychnis spurrelli,86,48,41
Agalychnis terranova,15,2,2
Aglyptodactylus chorus,2,1,NA
Aglyptodactylus laticeps,1,NA,NA
Aglyptodactylus madagascariensis,177,66,44
Aglyptodactylus securifer,3,3,2
Alcalus baluensis,8,6,6
Alcalus mariae,20,4,2
Alcalus tasanae,6,NA,NA
Allobates amissibilis,10,2,2
Allobates bromelicola,6,NA,NA
Allobates brunneus,92,9,9
Allobates caeruleodactylus,1,NA,NA
Allobates carajas,7,3,3
Allobates chalcopis,68,NA,NA
Allobates conspicuus,15,2,2
Allobates crombiei,57,7,5
Allobates femoralis,594,229,200
Allobates flaviventris,3,2,2
Allobates fratisenescus,2,2,2
Allobates fuscellus,15,2,2
Allobates gasconi,6,2,2
Allobates goianus,1,NA,NA
Allobates granti,27,9,9
Allobates grillisimilis,3,2,2
Allobates humilis,1,NA,NA
Allobates ignotus,2,NA,NA
Allobates insperatus,104,19,17
Allobates juami,2,1,NA
Allobates juanii,91,2,2
Allobates kingsburyi,19,NA,NA
Allobates mandelorum,1,NA,NA
Allobates marchesianus,76,10,10
Allobates masniger,13,1,NA
Allobates nidicola,5,NA,NA
Allobates niputidea,37,4,4
Allobates nunciatus,3,3,3
Allobates olfersioides,35,10,9
Allobates ornatus,8,3,2
Allobates paleovarzensis,16,4,4
Allobates peruvianus,81,1,NA
Allobates pittieri,1,1,NA
Allobates ranoides,5,NA,NA
Allobates subfolionidificans,1,NA,NA
Allobates sumtuosus,12,2,2
Allobates talamancae,243,82,60
Allobates tapajos,27,13,12
Allobates tinae,5,4,4
Allobates trilineatus,109,19,19
Allobates undulatus,2,NA,NA
Allobates wayuu,1,1,NA
Allobates zaparo,113,8,8
Allopaa barmoachensis,1,NA,NA
Allopaa hazarensis,14,7,7
Allophryne ruthveni,75,50,46
Alsodes australis,3,1,NA
Alsodes barrioi,7,1,NA
Alsodes cantillanensis,6,NA,NA
Alsodes coppingeri,7,NA,NA
Alsodes gargola,15,5,3
Alsodes hugoi,5,NA,NA
Alsodes igneus,5,NA,NA
Alsodes montanus,7,4,4
Alsodes monticola,5,NA,NA
Alsodes nodosus,35,10,10
Alsodes norae,8,NA,NA
Alsodes pehuenche,12,NA,NA
Alsodes tumultuosus,8,NA,NA
Alsodes valdiviensis,8,2,2
Alsodes vanzolinii,1,NA,NA
Alsodes verrucosus,14,NA,NA
Alsodes vittatus,1,NA,NA
Altiphrynoides malcolmi,13,1,NA
Altiphrynoides osgoodi,21,1,NA
Alytes almogavarii,10,5,5
Alytes cisternasii,2971,355,244
Alytes dickhilleni,285,42,34
Alytes maurus,9,6,6
Alytes muletensis,36,NA,NA
Alytes obstetricans,48534,5931,4118
Amazophrynella amazonicola,5,3,3
Amazophrynella bilinguis,2,1,NA
Amazophrynella bokermanni,70,1,NA
Amazophrynella gardai,9,2,2
Amazophrynella javierbustamantei,3,3,2
Amazophrynella manaos,8,4,4
Amazophrynella matses,1,1,NA
Amazophrynella minuta,287,52,42
Amazophrynella moisesii,4,3,3
Amazophrynella siona,49,29,20
Amazophrynella teko,6,4,4
Amazophrynella vote,2,1,NA
Ambystoma altamirani,541,27,20
Ambystoma amblycephalum,141,7,7
Ambystoma andersoni,50,6,2
Ambystoma annulatum,155,123,105
Ambystoma barbouri,339,184,137
Ambystoma bishopi,12,4,4
Ambystoma bombypellum,123,4,4
Ambystoma californiense,369,216,153
Ambystoma cingulatum,43,24,20
Ambystoma dumerilii,470,10,5
Ambystoma flavipiperatum,140,5,4
Ambystoma gracile,1804,794,458
Ambystoma granulosum,607,5,5
Ambystoma jeffersonianum,3763,555,453
Ambystoma laterale,4705,2264,1641
Ambystoma leorae,34,6,3
Ambystoma lermaense,362,5,3
Ambystoma mabeei,69,39,28
Ambystoma macrodactylum,2019,858,609
Ambystoma maculatum,12515,5699,3475
Ambystoma mavortium,3033,1724,875
Ambystoma mexicanum,267,6,6
Ambystoma opacum,5227,2019,1456
Ambystoma ordinarium,305,25,21
Ambystoma rivulare,197,23,17
Ambystoma rosaceum,2659,142,101
Ambystoma silvense,8,1,NA
Ambystoma subsalsum,2,2,2
Ambystoma talpoideum,1444,554,393
Ambystoma taylori,75,6,2
Ambystoma texanum,1507,759,615
Ambystoma tigrinum,3683,1366,1028
Ambystoma velasci,1094,77,68
Ameerega bassleri,10,10,7
Ameerega berohoka,49,NA,NA
Ameerega bilinguis,307,115,48
Ameerega boehmei,1,1,NA
Ameerega braccata,8,3,2
Ameerega cainarachi,3,1,NA
Ameerega flavopicta,31,16,14
Ameerega hahneli,218,77,71
Ameerega ingeri,8,NA,NA
Ameerega macero,28,7,7
Ameerega munduruku,19,4,3
Ameerega panguana,1,1,NA
Ameerega parvula,277,18,16
Ameerega petersi,37,6,3
Ameerega picta,308,34,27
Ameerega pulchripecta,9,2,2
Ameerega shihuemoy,3,2,2
Ameerega silverstonei,2,NA,NA
Ameerega simulans,4,NA,NA
Ameerega trivittata,404,186,110
Amietia angolensis,1224,22,17
Amietia chapini,143,6,5
Amietia delalandii,534,333,263
Amietia desaegeri,42,10,10
Amietia fuscigula,1416,486,218
Amietia hymenopus,21,7,4
Amietia johnstoni,2,1,NA
Amietia moyerorum,2,1,NA
Amietia nutti,123,61,51
Amietia poyntoni,76,56,47
Amietia ruwenzorica,99,8,7
Amietia tenuoplicata,14,5,5
Amietia vandijki,6,4,3
Amietia vertebralis,67,19,15
Amietia wittei,50,14,12
Amnirana albolabris,785,169,116
Amnirana amnicola,60,8,7
Amnirana asperrima,25,4,3
Amnirana darlingi,18,5,5
Amnirana galamensis,112,45,41
Amnirana lemairei,20,2,2
Amnirana lepus,105,32,24
Amnirana occidentalis,4,4,4
Amnirana parkeriana,1,NA,NA
Amolops afghanus,1,NA,NA
Amolops albispinus,11,1,NA
Amolops archotaphus,4,1,NA
Amolops assamensis,2,NA,NA
Amolops chunganensis,156,13,13
Amolops compotrix,5,2,2
Amolops cremnobatus,117,32,22
Amolops daiyunensis,3,NA,NA
Amolops daorum,91,6,5
Amolops gerbillus,2,NA,NA
Amolops granulosus,38,8,7
Amolops hainanensis,426,6,5
Amolops hongkongensis,106,NA,NA
Amolops indoburmanensis,6,3,3
Amolops kaulbacki,2,1,NA
Amolops larutensis,35,17,12
Amolops lifanensis,47,6,5
Amolops loloensis,287,14,13
Amolops mantzorum,2186,37,35
Amolops marmoratus,27,NA,NA
Amolops monticola,5,2,2
Amolops panhai,44,4,4
Amolops ricketti,1122,21,18
Amolops sinensis,19,14,9
Amolops spinapectoralis,24,4,4
Amolops torrentis,493,14,13
Amolops tuberodepressus,1,1,NA
Amolops viridimaculatus,35,1,NA
Amolops wenshanensis,2,1,NA
Amolops wuyiensis,384,5,5
Amolops yatseni,2,1,NA
Amphiuma means,727,349,307
Amphiuma pholeter,164,49,35
Amphiuma tridactylum,177,111,98
Anaxyrus americanus,35522,20651,12591
Anaxyrus baxteri,6,3,3
Anaxyrus boreas,11293,5703,3315
Anaxyrus californicus,724,130,86
Anaxyrus canorus,483,186,116
Anaxyrus cognatus,5051,1563,1102
Anaxyrus compactilis,413,61,58
Anaxyrus debilis,3700,752,574
Anaxyrus exsul,196,2,2
Anaxyrus fowleri,8808,4481,2885
Anaxyrus hemiophrys,740,220,172
Anaxyrus houstonensis,441,56,22
Anaxyrus kelloggi,245,62,35
Anaxyrus mexicanus,72,25,25
Anaxyrus microscaphus,962,211,164
Anaxyrus nelsoni,99,10,5
Anaxyrus nevadensis,1,1,NA
Anaxyrus punctatus,6028,2258,1434
Anaxyrus quercicus,1273,643,468
Anaxyrus retiformis,199,44,38
Anaxyrus speciosus,3138,1369,998
Anaxyrus terrestris,7887,3951,2380
Anaxyrus williamsi,1,NA,NA
Anaxyrus woodhousii,10710,3882,2735
Andinobates abditus,4,1,NA
Andinobates bombetes,109,6,4
Andinobates cassidyhornae,5,5,4
Andinobates claudiae,1,NA,NA
Andinobates daleswansoni,2,2,2
Andinobates fulguritus,35,10,6
Andinobates minutus,287,20,18
Andinobates opisthomelas,77,42,24
Andinobates tolimensis,1,NA,NA
Andinobates victimatus,5,NA,NA
Andinobates viridis,8,NA,NA
Andinobates virolinensis,23,2,2
Andrias davidianus,57,16,15
Andrias japonicus,31,13,12
Aneides aeneus,614,393,331
Aneides caryaensis,10,10,8
Aneides ferreus,980,230,186
Aneides flavipunctatus,2043,436,258
Aneides hardii,365,73,33
Aneides iecanus,27,24,21
Aneides klamathensis,98,71,55
Aneides lugubris,3565,1340,656
Aneides niger,229,69,42
Aneides vagrans,551,194,145
Anhydrophryne hewitti,16,9,8
Anhydrophryne ngongoniensis,20,2,2
Anhydrophryne rattrayi,26,7,7
Anilany helenae,1,NA,NA
Anodonthyla boulengerii,32,13,12
Anodonthyla emilei,1,1,NA
Anodonthyla montana,1,1,NA
Anodonthyla moramora,5,4,4
Anodonthyla nigrigularis,4,NA,NA
Anodonthyla pollicaris,7,1,NA
Anomaloglossus baeobatrachus,139,57,45
Anomaloglossus beebei,79,12,9
Anomaloglossus blanci,5,2,2
Anomaloglossus degranvillei,135,NA,NA
Anomaloglossus dewynteri,4,1,NA
Anomaloglossus kaiei,34,6,4
Anomaloglossus leopardus,1,1,NA
Anomaloglossus megacephalus,13,1,NA
Anomaloglossus mitaraka,1,NA,NA
Anomaloglossus praderioi,22,1,NA
Anomaloglossus roraima,19,NA,NA
Anomaloglossus rufulus,1,NA,NA
Anomaloglossus shrevei,1,NA,NA
Anomaloglossus stepheni,30,5,5
Anomaloglossus surinamensis,8,3,3
Anomaloglossus tepuyensis,1,1,NA
Ansonia albomaculata,5,2,1
Ansonia fuliginea,6,4,2
Ansonia hanitschi,20,10,7
Ansonia inthanon,2,1,NA
Ansonia jeetsukumarani,1,1,NA
Ansonia khaochangensis,1,NA,NA
Ansonia kraensis,2,1,NA
Ansonia latidisca,1,NA,NA
Ansonia leptopus,23,1,NA
Ansonia longidigita,61,17,13
Ansonia malayana,2,NA,NA
Ansonia mcgregori,85,5,3
Ansonia minuta,14,2,2
Ansonia muelleri,83,9,8
Ansonia penangensis,2,NA,NA
Ansonia platysoma,1,NA,NA
Ansonia spinulifer,40,8,7
Ansonia thinthinae,53,NA,NA
Ansonia tiomanica,1,NA,NA
Aphantophryne nana,14,NA,NA
Aphantophryne pansa,153,5,4
Aphantophryne parkeri,10,NA,NA
Aphantophryne sabini,3,NA,NA
Aplastodiscus albofrenatus,23,1,NA
Aplastodiscus albosignatus,20,8,7
Aplastodiscus arildae,19,12,12
Aplastodiscus cavicola,7,3,3
Aplastodiscus cochranae,1,NA,NA
Aplastodiscus ehrhardti,8,3,3
Aplastodiscus eugenioi,2,1,NA
Aplastodiscus heterophonicus,7,3,3
Aplastodiscus ibirapitanga,1,NA,NA
Aplastodiscus leucopygius,92,21,16
Aplastodiscus lutzorum,2,2,2
Aplastodiscus perviridis,37,23,22
Aplastodiscus sibilatus,6,NA,NA
Aplastodiscus weygoldti,1,NA,NA
Aquiloeurycea cafetalera,171,14,13
Aquiloeurycea cephalica,1441,226,136
Aquiloeurycea galeanae,103,37,25
Aquiloeurycea praecellens,5,3,3
Aquiloeurycea quetzalanensis,54,3,3
Aquiloeurycea scandens,130,37,18
Arcovomer passarellii,21,7,5
Arenophryne rotunda,63,1,NA
Arenophryne xiphorhyncha,81,20,14
Arlequinus krebsi,1,NA,NA
Aromobates alboguttatus,2,NA,NA
Aromobates leopardalis,5,NA,NA
Aromobates molinarii,8,NA,NA
Aromobates nocturnus,2,1,NA
Aromobates saltuensis,2,NA,NA
Arthroleptella atermina,17,9,7
Arthroleptella bicolor,11,6,2
Arthroleptella draconella,24,10,7
Arthroleptella drewesii,11,NA,NA
Arthroleptella kogelbergensis,16,5,3
Arthroleptella landdrosia,21,3,3
Arthroleptella lightfooti,115,NA,NA
Arthroleptella rugosa,12,4,2
Arthroleptella subvoce,5,1,NA
Arthroleptella villiersi,52,33,21
Arthroleptides dutoiti,1,NA,NA
Arthroleptides martiensseni,17,NA,NA
Arthroleptides yakusini,6,1,NA
Arthroleptis adelphus,67,9,8
Arthroleptis adolfifriederici,20,1,NA
Arthroleptis affinis,145,4,4
Arthroleptis aureoli,2,NA,NA
Arthroleptis bioko,5,NA,NA
Arthroleptis brevipes,11,NA,NA
Arthroleptis carquejai,9,NA,NA
Arthroleptis francei,50,3,3
Arthroleptis kidogo,1,1,NA
Arthroleptis lameerei,14,NA,NA
Arthroleptis nguruensis,3,NA,NA
Arthroleptis nikeae,6,NA,NA
Arthroleptis palava,2,2,2
Arthroleptis perreti,9,2,2
Arthroleptis poecilonotus,558,118,61
Arthroleptis pyrrhoscelis,3,1,NA
Arthroleptis reichei,53,6,5
Arthroleptis schubotzi,31,2,1
Arthroleptis stenodactylus,398,128,103
Arthroleptis sylvaticus,245,41,32
Arthroleptis taeniatus,93,12,7
Arthroleptis tanneri,41,2,2
Arthroleptis troglodytes,1,NA,NA
Arthroleptis tuberosus,11,3,3
Arthroleptis variabilis,180,27,24
Arthroleptis vercammeni,1,NA,NA
Arthroleptis wageri,4,2,2
Arthroleptis wahlbergii,196,63,36
Arthroleptis xenochirus,45,6,6
Arthroleptis xenodactyloides,265,48,41
Arthroleptis xenodactylus,62,NA,NA
Ascaphus montanus,211,80,59
Ascaphus truei,1372,499,376
Assa darlingtoni,932,529,105
Asterophrys leucopus,7,4,4
Asterophrys marani,1,1,NA
Asterophrys pullifer,6,NA,NA
Asterophrys slateri,6,4,3
Asterophrys turpicola,11,5,4
Astylosternus batesi,108,24,21
