scientificName_harmonise,area
Abavorana luctuosa,10.45857276
Abavorana nazgul,6.04E-04
Acanthixalus sonjae,0.492290842
Acanthixalus spinosus,98.68707225
Acris blanchardi,238.656473
Acris crepitans,96.10727175
Acris gryllus,63.88281368
Adelastes hylonomos,0.011333397
Adelophryne adiastola,17.95164829
Adelophryne baturitensis,0.084158262
Adelophryne gutturosa,20.94913312
Adelophryne maranguapensis,0.002649221
Adelophryne pachydactyla,0.484589888
Adelophryne patamona,0.001600767
Adelotus brevis,43.84715531
Adelphobates castaneoticus,1.979003162
Adelphobates galactonotus,46.40713716
Adelphobates quinquevittatus,118.0534787
Adenomera ajurauna,0.020255311
Adenomera amicorum,318414534.2
Adenomera andreae,489.0484032
Adenomera araucaria,0.364369823
Adenomera bokermanni,20.24554017
Adenomera chicomendesi,1213739546
Adenomera coca,0.006996954
Adenomera cotuba,1926913739
Adenomera diptyx,39.71582784
Adenomera gridipappi,637312929.7
Adenomera guarayo,319027729
Adenomera heyeri,17.02477131
Adenomera hylaedactyla,774.0488307
Adenomera juikitam,2597201799
Adenomera kayapo,1294731210
Adenomera kweti,318273974.9
Adenomera lutzi,0.243589138
Adenomera marmorata,20.06413967
Adenomera martinezi,0.455306078
Adenomera nana,1.264375926
Adenomera phonotriccus,330539376.6
Adenomera saci,50.18946033
Adenomera simonstuarti,637709413.6
Adenomera thomei,0.51315659
Adenomus kandianus,0.021878066
Adenomus kelaartii,0.921362279
Afrixalus aureus,9.035004249
Afrixalus brachycnemis,48.17981981
Afrixalus clarkei,0.116790141
Afrixalus crotalus,16.8584083
Afrixalus delicatus,62.36857652
Afrixalus dorsalis,49.79859141
Afrixalus dorsimaculatus,0.247360017
Afrixalus enseticola,0.268614082
Afrixalus equatorialis,44.95721437
Afrixalus fornasini,79.74579841
Afrixalus fulvovittatus,7.837469775
Afrixalus knysnae,0.155842593
Afrixalus lacteus,0.04971094
Afrixalus laevis,98.50926543
Afrixalus leucostictus,27.60888984
Afrixalus lindholmi,4.82E-05
Afrixalus morerei,0.742517763
Afrixalus nigeriensis,53.00642452
Afrixalus orophilus,1.448170489
Afrixalus osorioi,148.718249
Afrixalus paradorsalis,36.66827839
Afrixalus quadrivittatus,423.1364656
Afrixalus schneideri,4.16E-04
Afrixalus septentrionalis,2.983225562
Afrixalus spinifrons,5.525191214
Afrixalus stuhlmanni,8.976188207
Afrixalus sylvaticus,0.650002045
Afrixalus uluguruensis,0.048606268
Afrixalus upembae,0.484831714
Afrixalus vibekensis,0.494559247
Afrixalus vittiger,126.0606892
Afrixalus weidholzi,177.4947107
Afrixalus wittei,80.2535721
Agalychnis annae,0.223296867
Agalychnis buckleyi,4.778987576
Agalychnis callidryas,42.21337823
Agalychnis dacnicolor,13.01635527
Agalychnis danieli,8.45E-04
Agalychnis hulli,2.870744065
Agalychnis lemur,1.356864615
Agalychnis medinae,0.055030358
Agalychnis moreletii,5.041895076
Agalychnis psilopygion,1.539914218
Agalychnis saltator,1.175250495
Agalychnis spurrelli,10.83688098
Agalychnis terranova,1.941626981
Aglyptodactylus australis,0.098019414
Aglyptodactylus chorus,0.854226747
Aglyptodactylus inguinalis,4.723297569
Aglyptodactylus laticeps,0.172646329
Aglyptodactylus madagascariensis,9.538128166
Aglyptodactylus securifer,9.92654162
Alcalus baluensis,19.56041641
Alcalus mariae,0.064792092
Alcalus rajae,0.181908955
Alcalus sariba,0.006359562
Alcalus tasanae,15.93812134
Allobates algorei,0.427811679
Allobates amissibilis,0.011536765
Allobates bacurau,1.00E-03
Allobates bromelicola,0.001158197
Allobates brunneus,156.7211284
Allobates caeruleodactylus,0.143462823
Allobates carajas,954298247.9
Allobates caribe,7.65E-04
Allobates chalcopis,5.06E-04
Allobates conspicuus,30.15429455
Allobates crombiei,5.89344329
Allobates femoralis,458.2459893
Allobates flaviventris,637503434
