scientificName_harmonise,habitat_mostFreq,habitatBreadth,Levins,Levins_norm,PropSim
Abavorana luctuosa,100,8,1.6699,0.1518,0.9265
Abavorana nazgul,100,1,1,0.125,0.4741
Acanthixalus sonjae,100,4,1.8229,0.2279,0.692
Acanthixalus spinosus,100,8,1.3862,0.1386,0.8528
Acris blanchardi,1400,10,3.5971,0.3597,0.874
Acris crepitans,100,8,2.614,0.2614,0.9791
Acris gryllus,1400,9,3.1264,0.2842,0.8815
Adelastes hylonomos,100,1,1,0.125,0.93
Adelophryne adiastola,100,5,1.038,0.1153,0.9497
Adelophryne baturitensis,200,4,1.0213,0.1021,0.8974
Adelophryne gutturosa,100,8,1.1811,0.1312,0.9502
Adelophryne maranguapensis,100,3,2.8435,0.2844,0.4431
Adelophryne pachydactyla,100,6,3.1139,0.3114,0.3387
Adelophryne patamona,100,1,1,0.125,0.9526
Adelotus brevis,100,10,2.9647,0.2965,0.8242
Adelphobates castaneoticus,100,5,2.261,0.2512,0.7605
Adelphobates galactonotus,100,9,2.1482,0.1953,0.8281
Adelphobates quinquevittatus,100,6,1.2238,0.136,0.7179
Adenomera ajurauna,100,5,1.3715,0.1524,0.6993
Adenomera amicorum,100,1,1,0.1667,0.9093
Adenomera andreae,100,9,1.4069,0.1279,0.7967
Adenomera araucaria,1400,5,2.7304,0.3034,0.8412
Adenomera bokermanni,100,9,3.2305,0.323,0.7046
Adenomera chicomendesi,100,6,1.7259,0.1918,0.8212
Adenomera coca,100,3,1.0335,0.1148,0.8924
Adenomera cotuba,200,5,2.0615,0.2291,0.8801
Adenomera diptyx,100,6,2.7657,0.2766,0.8835
Adenomera gridipappi,100,4,1.3338,0.2223,0.8927
Adenomera guarayo,100,3,1.0863,0.1207,0.9536
Adenomera heyeri,100,7,1.0692,0.0972,0.9082
Adenomera hylaedactyla,100,10,2.0398,0.1854,0.9079
Adenomera juikitam,200,5,1.9084,0.1908,0.8983
Adenomera kayapo,200,6,2.3195,0.2577,0.7438
Adenomera kweti,100,4,1.36,0.1511,0.5728
Adenomera lutzi,100,5,1.0121,0.1125,0.9574
Adenomera marmorata,100,9,3.3263,0.3326,0.7328
Adenomera martinezi,100,5,1.4301,0.2384,0.7351
Adenomera nana,100,7,2.052,0.2052,0.7639
Adenomera phonotriccus,200,5,2.0573,0.2286,0.5514
Adenomera saci,200,7,2.0461,0.2046,0.8184
Adenomera simonstuarti,100,5,1.0346,0.115,0.9501
Adenomera thomei,200,7,2.6446,0.2645,0.9208
Adenomus kandianus,100,4,2.263,0.3772,0.6723
Adenomus kelaartii,1400,4,2.2754,0.2844,0.874
Afrixalus aureus,200,9,2.0744,0.2074,0.7843
Afrixalus brachycnemis,200,7,2.6178,0.2618,0.9222
Afrixalus clarkei,100,5,2.4415,0.2713,0.3214
Afrixalus crotalus,200,9,2.52,0.252,0.952
Afrixalus delicatus,200,9,2.3858,0.2386,0.9382
Afrixalus dorsalis,100,8,2.6503,0.265,0.6428
Afrixalus dorsimaculatus,100,5,3.5301,0.353,0.5546
Afrixalus enseticola,1400,6,2.702,0.3002,0.4387
Afrixalus equatorialis,100,6,1.1323,0.1415,0.7344
Afrixalus fornasini,200,9,2.4745,0.2474,0.9063
Afrixalus fulvovittatus,100,6,2.2919,0.2547,0.5654
Afrixalus knysnae,100,8,3.1154,0.3115,0.3665
Afrixalus lacteus,100,4,2.1427,0.2678,0.9368
Afrixalus laevis,100,9,1.1566,0.1157,0.7002
Afrixalus leucostictus,100,6,1.0854,0.1206,0.7663
Afrixalus lindholmi,100,1,1,0.125,0.8022
Afrixalus morerei,1400,6,3.0059,0.334,0.4438
Afrixalus nigeriensis,100,8,3.1592,0.351,0.8757
Afrixalus orophilus,1400,8,2.1486,0.2387,0.4877
Afrixalus osorioi,100,9,1.8059,0.1806,0.7886
Afrixalus paradorsalis,100,8,1.2025,0.1503,0.722
Afrixalus quadrivittatus,100,10,2.5777,0.2578,0.7086
Afrixalus schneideri,1400,1,1,0.125,0.0813
Afrixalus septentrionalis,200,7,1.4108,0.1568,0.6729
Afrixalus spinifrons,1400,8,4.0948,0.4095,0.72
Afrixalus stuhlmanni,200,8,2.3078,0.2308,0.8776
Afrixalus sylvaticus,200,8,2.4824,0.2482,0.8242
