scientificName_harmonise,humanTolerance_rast_mean,humanTolerance_rast_median,humanTolerance_rast_min,humanTolerance_rast_max,humanTolerance_occs_mean,humanTolerance_occs_median,humanTolerance_occs_min,humanTolerance_occs_max
Oedipina alfaroi,5.59,5.15,3.1,9.56,NA,NA,NA,NA
Pseudoeurycea obesa,9.94,10.23,7.94,11.66,NA,NA,NA,NA
Bombina pachypus,27.27,25.13,11.73,38.15,NA,NA,NA,NA
Minervarya krishnan,10.72,10.43,6.3,21.2,NA,NA,NA,NA
Epicrionops lativittatus,5.64,4.98,2.18,12.59,NA,NA,NA,NA
Caecilia inca,4.01,3.44,2.18,9.43,NA,NA,NA,NA
Microcaecilia rabei,0,0,0,0,NA,NA,NA,NA
Rhinatrema nigrum,0.03,0,0,0.39,NA,NA,NA,NA
Limnonectes liui,10.94,9.61,6.41,22.65,NA,NA,NA,NA
Cynops wolterstorffi,13.95,13.24,8.4,22.7,NA,NA,NA,NA
Cynops chenggongensis,13.46,13.81,6.59,24.57,NA,NA,NA,NA
Rana jiulingensis,8.46,7.72,6.07,14.79,NA,NA,NA,NA
Tylototriton taliangensis,9.46,9.04,6.1,16.59,NA,NA,NA,NA
Tylototriton asperrimus,7.23,6.86,5.02,11.57,NA,NA,NA,NA
Pseudohynobius flavomaculatus,15.18,13.99,7.49,30.9,NA,NA,NA,NA
Nanorana chayuensis,2.49,2.5,0.96,4.54,NA,NA,NA,NA
Liua tsinpaensis,10.55,9.27,5.3,21.66,NA,NA,NA,NA
Pachyhynobius shangchengensis,20.75,20.64,17.69,27.24,NA,NA,NA,NA
Microcaecilia nicefori,15.58,13.22,6.8,32.4,NA,NA,NA,NA
Caecilia occidentalis,8.79,8.61,6.23,13.12,NA,NA,NA,NA
Caecilia caribea,5.69,5.55,2.44,7.87,NA,NA,NA,NA
Phrynobatrachus brongersmai,4.73,5.03,2.02,6.99,NA,NA,NA,NA
Bolitoglossa chucantiensis,5.06,5.27,2.06,8.87,NA,NA,NA,NA
Tylototriton ziegleri,9.82,10,5.82,13.28,NA,NA,NA,NA
Pristimantis macrummendozai,8.77,8.72,6.99,12.83,7.38,7.38,7.38,7.38
Oedipina altura,16.05,14.64,6.67,28.63,NA,NA,NA,NA
Sphaenorhynchus cammaeus,10.4,9.83,8.31,15.6,NA,NA,NA,NA
Dendropsophus nekronastes,9.97,9.89,7.7,13.2,NA,NA,NA,NA
Adenomera kweti,5.48,5.13,3.15,9.3,NA,NA,NA,NA
Proceratophrys pombali,14.01,11.87,6.83,27.11,NA,NA,NA,NA
Hylodes caete,10.74,8.81,6.83,21.31,NA,NA,NA,NA
Pseudopaludicola restinga,12.62,11.96,5.13,28.63,14.1,17.04,6.39,17.62
Phyllodytes magnus,6.45,6.45,4.83,8.24,NA,NA,NA,NA
Aplastodiscus heterophonicus,6.12,5.75,2.34,12.77,5.42,5.84,4.1,6.33
Pithecopus rusticus,7.08,7.09,2.05,11.86,7.84,7.84,6.76,8.92
Melanophryniscus vilavelhensis,15.12,14.36,10.37,24.45,NA,NA,NA,NA
Adenomera guarayo,2.64,2.33,2,3.93,NA,NA,NA,NA
Ischnocnema garciai,12.46,12.14,9.32,19.05,NA,NA,NA,NA
Ischnocnema feioi,11.04,10.53,8.16,15.85,NA,NA,NA,NA
Ischnocnema colibri,8.8,8.7,5.69,15.31,NA,NA,NA,NA
Brachycephalus olivaceus,9.53,9.48,5.22,12.55,NA,NA,NA,NA
Ischnocnema parnaso,19.43,19.15,10.57,29.71,10.57,10.57,10.57,10.57
Brachycephalus actaeus,15.19,15.48,6.3,30.7,NA,NA,NA,NA
Phyllodytes praeceptor,9.74,9.07,6.85,16.17,NA,NA,NA,NA
Phyllodytes amadoi,6.54,6.02,5.22,10.22,NA,NA,NA,NA
Brachycephalus leopardus,6.39,6.75,3.95,10.85,NA,NA,NA,NA
Melanophryniscus biancae,6.39,6.75,3.95,10.85,NA,NA,NA,NA
Adenomera phonotriccus,8.68,8.55,4.94,11.37,NA,NA,NA,NA
Oreolalax longmenmontis,9.79,9.4,8.45,12.66,NA,NA,NA,NA
Gastrotheca elicioi,13.27,12.97,4.75,25.51,NA,NA,NA,NA
Pristimantis latro,10.4,9.13,4.22,24.17,NA,NA,NA,NA
Pseudoeurycea ahuitzotl,3.8,3.83,3.17,4.77,NA,NA,NA,NA
Bolitoglossa nigrescens,6.11,5.08,4.03,10.88,NA,NA,NA,NA
Ichthyophis mindanaoensis,11.23,11.44,6.37,15.31,NA,NA,NA,NA
Kaloula meridionalis,16.74,15.89,12,32.81,NA,NA,NA,NA
Telmatobius mantaro,8.18,7.68,1.09,30.54,NA,NA,NA,NA
Mercurana myristicapalustris,7.52,6.63,6.01,10.8,NA,NA,NA,NA
Hynobius abei,19.75,20.31,14.45,24.35,NA,NA,NA,NA
Proceratophrys dibernardoi,13.75,10.16,1.75,34.71,15.5,15.5,1.75,29.24
Pseudopaludicola giarettai,7.54,7.45,6.68,8.47,NA,NA,NA,NA
Physalaemus feioi,10.65,10.71,5.41,18.96,10,8.64,6.46,14.9
Ameerega munduruku,0.79,0.87,0.02,1.73,0.65,0.61,0.61,0.72
Pristimantis ventrigranulosus,4.62,4.72,1.75,7.06,NA,NA,NA,NA
Rhinella azarai,10.92,8.54,3.35,32.06,12.53,12.53,8.64,16.42
Proceratophrys branti,6.42,5.86,3.56,11.05,6.45,6.45,4.67,8.23
Proceratophrys ararype,10.4,7.96,4.24,31.7,9.5,6.67,5.86,15.97
Amazophrynella gardai,2.87,2.2,0.85,9.9,2.42,2.42,1.93,2.92
Elachistocleis corumbaensis,8.6,8.33,2.65,14.16,NA,NA,NA,NA
Dendropsophus rozenmani,9.76,9.78,6.67,13.75,NA,NA,NA,NA
Boana caiapo,4.3,4.22,1.71,6.89,4.99,5.2,2.64,6.89
Pseudopaludicola motorzinho,8.68,5.89,2.52,32.06,8.51,6.29,5.03,16.42
Boana paranaiba,8.75,8.9,5.37,11.75,NA,NA,NA,NA
Brachycephalus margaritatus,6.52,6.22,4.21,9.49,NA,NA,NA,NA
Hynobius hidamontanus,14.43,13.88,8.84,20.17,NA,NA,NA,NA
Hylodes perere,7.98,8.06,4.62,13.54,NA,NA,NA,NA
Hynobius stejnegeri,9.32,10.01,6.45,11.29,NA,NA,NA,NA
Nyctibatrachus anamallaiensis,8.17,7.83,6.38,10.67,NA,NA,NA,NA
Tylototriton kweichowensis,14.53,14.22,10.08,25.5,NA,NA,NA,NA
Bolitoglossa tenebrosa,8.23,6.97,5.8,15.75,NA,NA,NA,NA
Cryptotriton necopinus,4.94,4.67,2.92,9.58,NA,NA,NA,NA
Dendrotriton kekchiorum,7.63,7.49,5.39,9.77,NA,NA,NA,NA
Bolitoglossa sooyorum,7.74,7.94,4.38,11.06,NA,NA,NA,NA
Cryptotriton monzoni,11.36,11.2,8.44,13.89,NA,NA,NA,NA
Pristimantis tinajillas,6.13,6.39,3.19,8.71,NA,NA,NA,NA
Leptobrachella jinshaensis,12.8,12.74,9.86,16.47,NA,NA,NA,NA
Bolitoglossa kaqchikelorum,20.16,18.2,11,35.13,18.82,18.82,14.65,23
Caecilia pachynema,12.9,9.67,3.07,37.74,9.4,6.31,4.02,17.87
Bolitoglossa qeqom,9.08,8.91,6.36,12.85,9.29,9.29,9.29,9.29
Pseudophilautus dilmah,21.48,20.78,14.7,31.83,NA,NA,NA,NA
Micrixalus sairandhri,9.25,9.23,7.78,11.32,NA,NA,NA,NA
Onychodactylus kinneburi,8.6,7.27,4.28,14.18,NA,NA,NA,NA
Chikila fulleri,16.91,16.94,12.3,20.83,NA,NA,NA,NA
Ameerega panguana,3.41,3.04,2.98,5.57,NA,NA,NA,NA
Polypedates subansiriensis,6.08,5.99,4.19,8.33,NA,NA,NA,NA
Stumpffia obscoena,6.49,6.39,3.82,10.2,NA,NA,NA,NA
Hynobius sematonotos,10.78,10.23,6.96,20.66,NA,NA,NA,NA
Ichthyophis paucisulcus,11.29,11.39,6.98,16.85,NA,NA,NA,NA
Gephyromantis ceratophrys,6.9,6.87,4.82,8.92,NA,NA,NA,NA
Gegeneophis goaensis,21.26,21.93,8.85,27.73,NA,NA,NA,NA
Pristimantis zorro,9.06,9.63,7.02,12.43,NA,NA,NA,NA
Ghatixalus magnus,8.61,8.88,6.02,10.8,NA,NA,NA,NA
Scinax tropicalia,6.58,6.65,5.37,7.76,NA,NA,NA,NA
Pristimantis giorgii,5.82,4.85,1.9,11.69,NA,NA,NA,NA
Laotriton laoensis,6.13,5.99,5.22,7.43,NA,NA,NA,NA
Batrachuperus yenyuanensis,10.71,10.13,6.14,17.47,NA,NA,NA,NA
Chiropterotriton infernalis,3.84,3.9,2.18,5.19,NA,NA,NA,NA
Leptobrachella lateralis,9.28,9.17,3.25,22.65,NA,NA,NA,NA
Tylototriton wenxianensis,10.08,11.22,5,19.54,NA,NA,NA,NA
Bolitoglossa suchitanensis,12.33,11.38,10.43,16.05,NA,NA,NA,NA
Ichthyophis tricolor,7.61,7.11,6.27,10.67,NA,NA,NA,NA
Caecilia dunni,9.22,8.96,4.54,16.51,NA,NA,NA,NA
Bolitoglossa gomezi,10.75,10.69,4.99,16.14,NA,NA,NA,NA
Chiasmocleis bicegoi,9.23,9.56,4.19,12.13,NA,NA,NA,NA
Bolitoglossa eremia,9.24,8.75,7.33,14.11,NA,NA,NA,NA
Bolitoglossa huehuetenanguensis,7.25,6.75,5.89,9.65,NA,NA,NA,NA
Ichthyophis weberi,8.61,7.91,5.66,14.92,NA,NA,NA,NA
Bolitoglossa nussbaumi,8.93,8.88,6.36,11.82,NA,NA,NA,NA
Bolitoglossa borburata,16.14,13.82,8.33,28.62,NA,NA,NA,NA
Caecilia perdita,7.35,7.16,5.43,9.75,NA,NA,NA,NA
