scientificName_harmonise,airport_range,allPorts_range,railPorts_range,roadPorts_range,airport_passangers,allPorts_outflow
Oedipina alfaroi,0,0,0,0,0,0
Pseudoeurycea obesa,0,0,0,0,0,0
Bombina pachypus,0,0,0,0,0,0
Minervarya krishnan,0,0,0,0,0,0
Epicrionops lativittatus,0,0,0,0,0,0
Caecilia inca,0,0,0,0,0,0
Microcaecilia rabei,0,0,0,0,0,0
Rhinatrema nigrum,0,0,0,0,0,0
Limnonectes liui,0,0,0,0,0,0
Cynops wolterstorffi,0,0,0,0,0,0
Cynops chenggongensis,0,0,0,0,0,0
Rana jiulingensis,0,0,0,0,0,0
Tylototriton taliangensis,0,0,0,0,0,0
Tylototriton asperrimus,0,0,0,0,0,0
Pseudohynobius flavomaculatus,0,0,0,0,0,0
Nanorana chayuensis,0,0,0,0,0,0
Liua tsinpaensis,0,0,0,0,0,0
Pachyhynobius shangchengensis,0,0,0,0,0,0
Microcaecilia nicefori,0,0,0,0,0,0
Caecilia occidentalis,0,0,0,0,0,0
Caecilia caribea,0,0,0,0,0,0
Phrynobatrachus brongersmai,0,0,0,0,0,0
Bolitoglossa chucantiensis,0,0,0,0,0,0
Tylototriton ziegleri,0,0,0,0,0,0
Pristimantis macrummendozai,0,0,0,0,0,0
Oedipina altura,0,0,0,0,0,0
Sphaenorhynchus cammaeus,0,0,0,0,0,0
Dendropsophus nekronastes,0,0,0,0,0,0
Adenomera kweti,0,0,0,0,0,0
Proceratophrys pombali,0,0,0,0,0,0
Hylodes caete,0,0,0,0,0,0
Pseudopaludicola restinga,0,0,0,0,0,0
Phyllodytes magnus,0,0,0,0,0,0
Aplastodiscus heterophonicus,0,0,0,0,0,0
Pithecopus rusticus,0,0,0,0,0,0
Melanophryniscus vilavelhensis,0,0,0,0,0,0
Adenomera guarayo,0,0,0,0,0,0
Ischnocnema garciai,0,0,0,0,0,0
Ischnocnema feioi,0,0,0,0,0,0
Ischnocnema colibri,0,0,0,0,0,0
Brachycephalus olivaceus,0,0,0,0,0,0
Ischnocnema parnaso,0,0,0,0,0,0
Phyllodytes praeceptor,0,0,0,0,0,0
Phyllodytes amadoi,0,0,0,0,0,0
Brachycephalus leopardus,0,0,0,0,0,0
Melanophryniscus biancae,0,0,0,0,0,0
Adenomera phonotriccus,0,0,0,0,0,0
Oreolalax longmenmontis,0,0,0,0,0,0
Gastrotheca elicioi,0,0,0,0,0,0
Pristimantis latro,0,0,0,0,0,0
Pseudoeurycea ahuitzotl,0,0,0,0,0,0
Bolitoglossa nigrescens,0,0,0,0,0,0
Ichthyophis mindanaoensis,0,0,0,0,0,0
Kaloula meridionalis,0,0,0,0,0,0
Telmatobius mantaro,1,0,0,0,107943.696,0
Mercurana myristicapalustris,0,0,0,0,0,0
Hynobius abei,0,0,0,0,0,0
Proceratophrys dibernardoi,0,0,0,0,0,0
Pseudopaludicola giarettai,0,0,0,0,0,0
Physalaemus feioi,0,0,0,0,0,0
Ameerega munduruku,0,0,0,0,0,0
Pristimantis ventrigranulosus,0,0,0,0,0,0
Rhinella azarai,0,0,0,0,0,0
Proceratophrys branti,0,0,0,0,0,0
Proceratophrys ararype,0,0,0,0,0,0
Amazophrynella gardai,0,0,0,0,0,0
Elachistocleis corumbaensis,0,0,0,0,0,0
Dendropsophus rozenmani,0,0,0,0,0,0
Boana caiapo,0,0,0,0,0,0
Pseudopaludicola motorzinho,0,0,0,0,0,0
Boana paranaiba,0,0,0,0,0,0
Brachycephalus margaritatus,0,0,0,0,0,0
Hynobius hidamontanus,0,0,0,0,0,0
Hylodes perere,0,0,0,0,0,0
Hynobius stejnegeri,0,0,0,0,0,0
Nyctibatrachus anamallaiensis,0,0,0,0,0,0
Tylototriton kweichowensis,0,0,0,0,0,0
Bolitoglossa tenebrosa,0,0,0,0,0,0
Cryptotriton necopinus,0,0,0,0,0,0
Dendrotriton kekchiorum,0,0,0,0,0,0
Bolitoglossa sooyorum,0,0,0,0,0,0
Cryptotriton monzoni,0,0,0,0,0,0
Pristimantis tinajillas,0,0,0,0,0,0
