...1,id,Order,Family,Genus,scientificName,scientificName_harmonise,Fos,Ter,Aqu,Arb,Diu,Noc,Crepu,Body_size_mm,Reproductive_output_y,Dir,Lar,Viv,withPhylo
1,Anf4818,Anura,Ranidae,Hylarana,Hylarana luctuosa,Abavorana luctuosa,0,1,1,0,NA,NA,NA,68,1,0,1,0,TRUE
2,Anf3054,Anura,Hyperoliidae,Acanthixalus,Acanthixalus sonjae,Acanthixalus sonjae,0,1,1,1,0,1,0,38.5,1,0,1,0,TRUE
3,Anf3055,Anura,Hyperoliidae,Acanthixalus,Acanthixalus spinosus,Acanthixalus spinosus,0,1,1,1,0,1,0,38.3,1,0,1,0,TRUE
4,Anf2116,Anura,Hylidae,Acris,Acris blanchardi,Acris blanchardi,0,1,1,0,1,0,0,38,1,NA,NA,NA,TRUE
5,Anf2117,Anura,Hylidae,Acris,Acris crepitans,Acris crepitans,0,1,1,1,1,1,0,38,2,0,1,0,TRUE
6,Anf2118,Anura,Hylidae,Acris,Acris gryllus,Acris gryllus,0,1,1,1,1,1,0,32,1,0,1,0,TRUE
7,Anf3855,Anura,Microhylidae,Adelastes,Adelastes hylonomos,Adelastes hylonomos,0,1,0,0,0,1,1,29,NA,NA,NA,NA,TRUE
8,Anf1995,Anura,Eleutherodactylidae,Adelophryne,Adelophryne adiastola,Adelophryne adiastola,0,1,1,0,0,1,0,17,1,1,0,0,TRUE
9,Anf1996,Anura,Eleutherodactylidae,Adelophryne,Adelophryne baturitensis,Adelophryne baturitensis,0,1,1,0,1,0,0,16.3,1,1,0,0,TRUE
10,Anf1997,Anura,Eleutherodactylidae,Adelophryne,Adelophryne gutturosa,Adelophryne gutturosa,0,1,1,0,1,1,0,16,1,1,0,0,TRUE
11,Anf1998,Anura,Eleutherodactylidae,Adelophryne,Adelophryne maranguapensis,Adelophryne maranguapensis,0,1,1,1,1,0,0,17.4,1,1,0,0,TRUE
12,Anf1999,Anura,Eleutherodactylidae,Adelophryne,Adelophryne pachydactyla,Adelophryne pachydactyla,0,1,1,0,NA,NA,NA,11.1,NA,1,0,0,TRUE
13,Anf2000,Anura,Eleutherodactylidae,Adelophryne,Adelophryne patamona,Adelophryne patamona,0,1,0,0,0,1,1,23,NA,NA,NA,NA,TRUE
14,Anf3454,Anura,Limnodynastidae,Adelotus,Adelotus brevis,Adelotus brevis,1,1,1,0,NA,NA,NA,45,1,0,1,0,TRUE
15,Anf1514,Anura,Dendrobatidae,Adelphobates,Adelphobates castaneoticus,Adelphobates castaneoticus,0,1,0,0,1,0,0,22.7,1,0,1,0,TRUE
16,Anf1515,Anura,Dendrobatidae,Adelphobates,Adelphobates galactonotus,Adelphobates galactonotus,0,1,0,0,1,0,0,40.5,1,0,1,0,TRUE
